20127003,8,6,8.5,7.5
20127010,8.5,5,5,6.17
20127015,7,5,8,6.67
20127067,6,8.5,10,8.17
20127082,5,5.5,6,5.5
20127084,5,6.5,5,5.5
20127095,8.5,6.25,8.5,7.75
20127130,5.5,6.5,7,6.33
20127133,6.5,5.75,7,6.42
20127141,6.25,8.25,8.5,7.67
20127175,6.5,6.5,9,7.33
20127190,5.75,5.5,7,6.08
20127195,8.25,9,8.5,8.58
20127198,6.5,5,7.5,6.33
20127214,5.5,8.5,8,7.33
20127224,9,7,7,7.67
20127228,5,5,8.5,6.17
20127233,8.5,8,9,8.5
20127242,7,7,5,6.33
20127245,5,8.5,8.5,7.33
20127257,9,7,7,7.67
20127278,9,8.5,5,7.5
20127311,8,8,6.75,7.58
20127312,8.5,7.6,10,8.7
20127321,7,5,8.5,6.83
20127336,9,8,8.5,8.5
20127362,9,8.5,8.5,8.67
20127384,7.5,8.25,9.5,8.42
20127443,8,6.5,7,7.17
20127459,7,8.5,8.5,8
20127480,8.5,5,7,6.83
20127483,8,5,8,7
20127491,7.6,6,8.5,7.37
20127493,5,5,5,5
20127516,8,5,8,7
20127522,8.5,8.5,10,9
20127531,8,5.5,6,6.5
20127551,5,6.5,5,5.5
20127612,8.5,8.5,8.5,8.5
20127613,5,7,7,6.33
20127617,5,8,7,6.67
20127622,6,8.5,8.5,7.67
20127638,5,5,5,5
20127639,5,8,8,7
20127647,8.5,10,8,8.83
20127656,5.5,6,8.5,6.67
20127665,6.5,5,7,6.17
