19127380,8.25,6,9,7.75
20127001,8.25,7.25,9,8.166666667
20127005,9,6.75,8,7.916666667
20127013,8.5,8.75,10,9.083333333
20127027,8.75,6.75,10,8.5
20127056,8.75,8.5,8,8.416666667
20127100,7.75,9.5,9,8.75
20127101,8,10,8.5,8.833333333
20127114,6.75,10,9.5,8.75
20127118,8.25,10,10,9.416666667
20127121,8.5,9,8.5,8.666666667
20127125,8,10,6.75,8.25
20127165,7.5,10,7,8.166666667
20127203,7.75,10,8,8.583333333
20127210,7.25,9.5,10,8.916666667
20127271,7.5,8.5,10,8.666666667
20127285,8,9,10,9
20127298,7.75,10,10,9.25
20127303,7.75,8.5,9.5,8.583333333
20127317,9,6.5,8.5,8
20127337,9.5,6.75,10,8.75
20127343,10,7.5,10,9.166666667
20127349,9.5,7,10,8.833333333
20127355,8.5,7.25,8.5,8.083333333
20127369,10,9,6,8.333333333
20127370,10,9,10,9.666666667
20127376,10,7.5,10,9.166666667
20127400,9,7.5,9,8.5
20127437,8.5,6.5,7,7.333333333
20127467,9,7,10,8.666666667
20127468,8,6.5,8.5,7.666666667
20127520,8.5,8.5,9.5,8.833333333
20127530,9,8,10,9
20127572,8.5,7.75,10,8.75
20127575,8.5,7.5,10,8.666666667
20127576,9.5,8,10,9.166666667
20127577,7.5,6.5,8.5,7.5
20127583,6.75,8.5,7,7.416666667
20127584,5,9,9,7.666666667
20127585,6.75,10,9.5,8.75
20127610,6.75,9.5,10,8.75
20127620,7.25,8.5,10,8.583333333
20127645,6.25,10,9.5,8.583333333
20127653,6.75,10,9,8.583333333
20127659,6.5,9,9.5,8.333333333
20127660,6.5,8,8.5,7.666666667
20127673,7.25,8.5,8.5,8.083333333
20127678,7,10,10,9
