20127007,5.25,7,6.75,6.33
20127021,9,8.75,9.25,9
20127032,7.25,6.75,7,7
20127047,3.75,9,6.5,6.42
20127053,7,3.5,7.5,6
20127098,6.5,7.5,7.75,7.25
20127102,4,3.5,3.5,3.67
20127119,7,7,3.75,5.92
20127120,8.25,4.25,9.5,7.33
20127131,6.25,9.5,7.5,7.75
20127157,3,6.25,3.5,4.25
20127158,9.5,3.5,4.5,5.83
20127186,5.5,8.25,6,6.58
20127194,7,9,8.25,8.08
20127199,4.25,3.25,5.5,4.33
20127211,8.25,6.25,6.5,7
20127244,7,9,9.5,8.5
20127256,6.25,6,9,7.08
20127282,7.5,8,6,7.17
20127309,9.5,8.5,6,8
20127338,9.25,9,7,8.42
20127364,8,3.75,6.5,6.08
20127386,3,3.25,9.75,5.33
20127395,3.25,7.5,7.5,6.08
20127412,7,4.25,5.75,5.67
20127432,8.5,6,5.25,6.58
20127435,9.25,9.5,8.25,9
20127439,9,9,5,7.67
20127444,5.5,8,7.25,6.92
20127448,6.25,3,4.25,4.5
20127453,4.25,3.75,5.5,4.5
20127482,5.25,7,7.25,6.5
20127486,3,6.75,8.75,6.17
20127506,3.5,7,9,6.5
20127538,9.25,9.5,3,7.25
20127549,5.5,6,3.5,5
20127558,7.75,9.25,3.25,6.75
20127586,7,5,9.25,7.08
20127591,4,8.5,3.5,5.33
20127598,5,3.75,4.5,4.42
20127601,5.25,6.25,5.5,5.67
20127605,6.25,7.75,6.5,6.83
20127606,9,7.75,6.25,7.67
20127629,4.25,5.5,7,5.58
20127631,6,4.5,3.25,4.58
20127646,3.25,6,8,5.75
20127661,9.25,9.5,7.5,8.75
20120337,6.5,6,3.25,5.25
